1445	113	4	13.72
890	121	3	8.22
114	1530	3	9.06
2692	103	3	6.35
895	1535	4	45.55
254	127	6	9.36
513	212	3	13.95
1306	127	16	117.47
131	5324	6	60.33
695	108	10	22.14
2679	102	4	7.39
101	9575	3	13.9
133	155	12	18.59
454	103	8	4.89
818	944	6	66.08
8739	102	4	21.67
105	707	11	22.35
158	2521	7	62.47
298	8736	3	39.23
102	2384	5	10.08
228	116	17	37.92
283	101	22	6.17
185	1213	3	17.85
106	367	10	7.93
106	6490	3	14.48
108	4791	3	12.9
1289	106	9	26.82
4893	101	3	7.43
3052	101	6	15.6
6660	101	3	10.28
110	954	5	11.01
103	8876	4	30.34
268	2280	5	49.37
3227	101	3	4.12
1658	12	5	8.18
106	11662	3	23.89
110	1038	7	21.04
827	8	4	9.23
1584	206	5	40.17
109	126	456	1820.56
389	122	13	50.4
918	116	5	15.76
172	1114	3	16.54
109	174	61	133.37
12967	106	3	23.89
370	2091	4	40.59
117	668	3	5.33
8699	1223	3	48.84
217	301	3	10.6
328	202	11	66.6
147	180	4	4.73
101	2463	4	4.99
440	102	35	77.3
181	193	14	60.33
860	121	4	12.9
368	113	12	32.36
4288	108	3	12.26
221	127	19	60.06
102	1863	4	4.54
753	118	3	6.43
1804	103	3	4.02
267	317	3	13.13
1153	342	3	23.83
285	687	3	19.1
169	342	3	8.65
4383	103	3	10.23
730	108	24	98.11
4830	127	3	21.25
4802	105	4	18.14
2821	108	3	8.83
805	102	32	111.57
383	151	3	8.53
1090	105	4	4.52
2435	9	3	12.14
240	177	50	383.15
1411	103	9	25.28
114	405	4	4.35
101	2132	7	13.26
211	202	6	20.47
111	3304	3	13.05
175	159	5	8.12
546	102	17	22.68
2578	108	10	53.05
8	10782	3	29.57
671	103	8	9.5
2703	9	5	27.16
240	371	17	134.32
927	1741	4	47.16
103	511	7	4.25
2684	108	3	8.24
106	3693	3	9.76
3087	105	3	8.23
413	128	8	26.77
713	107	5	5
2312	101	4	4.46
137	2280	5	34.56
107	3478	4	15.53
105	1652	3	4.06
200	106	38	51.22
6920	101	4	16.96
108	3782	8	49.22
3144	1167	6	88.94
155	1972	3	19.11
4304	3447	8	159.71
1094	101	13	22.38
1023	116	4	11.85
243	1485	3	22.24
115	290	5	4.07
101	1635	7	9.73
107	2144	3	6.21
3059	111	4	19.37
1532	8	3	8.8
115	187	63	237.93
1887	111	4	14.07
101	1839	6	7.93
752	156	6	34.53
1663	107	6	17.1
115	116	48	22.97
608	122	3	6.29
2281	101	7	14.26
3394	101	3	4.46
3680	119	3	17.51
386	185	9	50.69
767	119	17	97.64
838	104	31	139.4
121	812	3	7.78
2101	116	7	39.95
2045	101	7	12.79
1934	131	3	15.11
1267	158	4	24.23
458	12	9	4.51
660	1171	9	106.97
4023	101	4	9.91
873	115	3	5.9
164	1786	6	46.81
1495	102	12	32.35
575	102	30	74.26
144	509	5	20.71
4375	108	5	26.52
204	112	19	31.19
107	1066	47	323.5
150	227	7	20.75
4280	103	5	23.04
3882	102	3	6.64
689	139	6	28.19
2448	103	4	9.95
139	177	6	7.37
919	153	4	21.03
444	128	4	8.88
106	2928	3	8.24
8	1393	10	51.43
372	2677	3	30.43
1948	108	8	31.71
121	165	13	16.11
1624	142	14	123.93
356	6990	3	38.83
1238	103	5	7.47
816	153	6	35.31
633	4613	4	55
108	2554	5	18.45
363	1294	3	24.97
121	248	5	5.01
3320	102	5	14.18
3958	103	4	15.43
1511	142	3	15.91
111	171	16	10.4
778	244	4	26.58
161	228	4	8.72
105	454	8	6.16
169	1661	3	18.77
119	282	11	27.76
106	2519	6	22.02
514	106	7	5.94
4095	104	4	15.79
3595	111	4	21.11
119	199	11	16.16
366	111	64	359.22
1196	107	4	6
255	138	11	37.68
8	1958	5	22.62
639	101	14	12.57
2206	12	3	3.93
2663	120	5	30.89
145	107	28	9.08
2874	101	4	6.3
106	2415	3	6.6
3808	101	5	13.96
110	3913	3	13.22
111	2907	4	18.4
1015	723	3	28.07
107	6558	5	32.38
